sample,fastq_1,fastq_2
H5CK2004RP4D70,NS.X0182.001.IDT_i7_10---IDT_i5_10.H5CK2004RP4D70_R1.fastq.gz,NS.X0182.001.IDT_i7_10---IDT_i5_10.H5CK2004RP4D70_R2.fastq.gz
H5CK2062RP4D70,NS.X0182.001.IDT_i7_11---IDT_i5_11.H5CK2062RP4D70_R1.fastq.gz,NS.X0182.001.IDT_i7_11---IDT_i5_11.H5CK2062RP4D70_R2.fastq.gz
H5CF8529RP5D70,NS.X0182.001.IDT_i7_12---IDT_i5_12.H5CF8529RP5D70_R1.fastq.gz,NS.X0182.001.IDT_i7_12---IDT_i5_12.H5CF8529RP5D70_R2.fastq.gz
H5CF8598RP9D70,NS.X0182.001.IDT_i7_143---IDT_i5_143.H5CF8598RP9D70_R1.fastq.gz,NS.X0182.001.IDT_i7_143---IDT_i5_143.H5CF8598RP9D70_R2.fastq.gz
H5CE7596RP1D00,NS.X0182.001.IDT_i7_20---IDT_i5_20.H5CE7596RP1D00_R1.fastq.gz,NS.X0182.001.IDT_i7_20---IDT_i5_20.H5CE7596RP1D00_R2.fastq.gz
H5CK2731RP1D00,NS.X0182.001.IDT_i7_22---IDT_i5_22.H5CK2731RP1D00_R1.fastq.gz,NS.X0182.001.IDT_i7_22---IDT_i5_22.H5CK2731RP1D00_R2.fastq.gz
H5CK2781RP1D00,NS.X0182.001.IDT_i7_23---IDT_i5_23.H5CK2781RP1D00_R1.fastq.gz,NS.X0182.001.IDT_i7_23---IDT_i5_23.H5CK2781RP1D00_R2.fastq.gz
H5CF8122RP2D00,NS.X0182.001.IDT_i7_24---IDT_i5_24.H5CF8122RP2D00_R1.fastq.gz,NS.X0182.001.IDT_i7_24---IDT_i5_24.H5CF8122RP2D00_R2.fastq.gz
H5CE7084RP4D70,NS.X0182.001.IDT_i7_9---IDT_i5_9.H5CE7084RP4D70_R1.fastq.gz,NS.X0182.001.IDT_i7_9---IDT_i5_9.H5CE7084RP4D70_R2.fastq.gz
H5CE7109RP8D70,NS.X0182.003.IDT_i7_101---IDT_i5_101.H5CE7109RP8D70_R1.fastq.gz,NS.X0182.003.IDT_i7_101---IDT_i5_101.H5CE7109RP8D70_R2.fastq.gz
H5CE7513RP9D70,NS.X0182.003.IDT_i7_149---IDT_i5_149.H5CE7513RP9D70_R1.fastq.gz,NS.X0182.003.IDT_i7_149---IDT_i5_149.H5CE7513RP9D70_R2.fastq.gz
H5CE7505RP6D70,NS.X0182.003.IDT_i7_198---IDT_i5_198.H5CE7505RP6D70_R1.fastq.gz,NS.X0182.003.IDT_i7_198---IDT_i5_198.H5CE7505RP6D70_R2.fastq.gz
H5CE7560RP3D00,NS.X0182.003.IDT_i7_210---IDT_i5_210.H5CE7560RP3D00_R1.fastq.gz,NS.X0182.003.IDT_i7_210---IDT_i5_210.H5CE7560RP3D00_R2.fastq.gz
H5CF8074RP3D00,NS.X0182.003.IDT_i7_211---IDT_i5_211.H5CF8074RP3D00_R1.fastq.gz,NS.X0182.003.IDT_i7_211---IDT_i5_211.H5CF8074RP3D00_R2.fastq.gz
H5CE7505RP6D00,NS.X0182.003.IDT_i7_222---IDT_i5_222.H5CE7505RP6D00_R1.fastq.gz,NS.X0182.003.IDT_i7_222---IDT_i5_222.H5CE7505RP6D00_R2.fastq.gz
H5CE7513RP9D00,NS.X0182.003.IDT_i7_234---IDT_i5_234.H5CE7513RP9D00_R1.fastq.gz,NS.X0182.003.IDT_i7_234---IDT_i5_234.H5CE7513RP9D00_R2.fastq.gz
H5CE7560RP3D28,NS.X0182.003.IDT_i7_246---IDT_i5_246.H5CE7560RP3D28_R1.fastq.gz,NS.X0182.003.IDT_i7_246---IDT_i5_246.H5CE7560RP3D28_R2.fastq.gz
H5CE7505RP6D28,NS.X0182.003.IDT_i7_258---IDT_i5_258.H5CE7505RP6D28_R1.fastq.gz,NS.X0182.003.IDT_i7_258---IDT_i5_258.H5CE7505RP6D28_R2.fastq.gz
H5CE7109RP8D28,NS.X0182.003.IDT_i7_266---IDT_i5_266.H5CE7109RP8D28_R1.fastq.gz,NS.X0182.003.IDT_i7_266---IDT_i5_266.H5CE7109RP8D28_R2.fastq.gz
